id,name
688,Simon & Schuster
689,Doherty  Tom Associates  LLC
690,FonoLibro
691,High Point Media
692,Brookline Books
693,Sunstone Press
694,Ace Hardcover
695,Pocket Books: Gallery Books
696,Woodbridge Press Publishing Company
697,Suma
698,Heyne
699,Bloomsbury
700,Samuel French Ltd
701,Signet Books (NY)
702,LSU Press
703,Peripatetic Press
704,Pan MacMillan
705,Amereon Limited
706,Houghton Mifflin Harcourt P
707,Faber and Faber & Penguin India
708,That Patchwork Place
709,Orion Children's Books
710,Puffin Books
711,Penguin Books (NY)
712,Quill
713,Wiley
714,Hodder & Stoughton
715,Michael Joseph Ltd./Penguin Books Ltd.
716,Quinteto
717,Vanguard Press
718,North Atlantic Books
719,Johnson Publishing Company (IL)
720,Red Fox
721,Gallimard Education
722,Cold Spring Press
723,Belknap Press of Harvard University Press
724,HarperCollins Publishers
725,Santillana USA Publishing Company
726,Methuen Publishing
727,Rodale Books
728,Green Ronin Publishing
729,Orbit
730,Planeta
731,DK Publishing (Dorling Kindersley)
732,Little  Brown Young Readers
733,Pinter & Martin Ltd
734,Crown Business
735,Random House Anchor
736,Swallow Press
737,Self-Realization Fellowship Publishers
738,Main Street Books
739,Harcourt  Inc.(Harvest Book)
740,Overlook Press
741,Random House: Modern Library
742,Penguin Global
743,Council Press
744,Simon & Schuster Children's Publishing
745,Thorndike Press
746,Wenner Books
747,MacMillan Publishing Company
748,Harcourt  Brace  Jovanovich
749,Evans Brothers
750,Running Press Kids
751,Pen & Sword Military
752,Gold Eagle
753,Bloomsbury USA
754,Addison Wesley
755,Starfire
756,Dundurn
757,Silhouette Desire
758,Nelson Thornes Ltd
759,Renaissance Books
760,Headline
761,Gemstone Publishing
762,Heinemann Library
763,Watkins
764,Fawcett
765,Totem Books
766,Copper Canyon Press
767,Rowohlt Tb
768,Coronet Books (GB)
769,Gallimard
770,Owl Publishing Company
771,Texas A&M University Press
772,Castle Books
773,Plaza & Janes Editores  S.A.
774,Blackwell Publishers
775,Twayne Publishers
776,C. Bange
777,Yale University Press
778,Stewart  Tabori and Chang
779,Harmony
780,Harcourt Brace Jovanovich (NY)
781,Robson Books  London
782,Marion Boyars Publishers Ltd
783,Urban Books
784,Egmont Children's Books
785,Walker
786,Gibbs Smith Publishers
787,Pomegranate Communications
788,MacMillan Audio
789,Yosemite Conservancy
790,Live Oak Media
791,Grijalbo
792,Robert Laffont
793,Harper Voyager
794,MJF Books
795,Waking Lion Press
796,時報出版
797,Mythopoeic Press
798,Union Square Press
799,David C. Cook
800,National Gallery London
801,Plaza & Janés Mexico
802,Arkham House Publishers
803,University of South Carolina Press
804,Fourth Estate Ltd
805,Corgi Books
806,Transaction Publishers
807,HarperTempest
808,Pfeiffer & Company
809,Vintage Books/Vintage Classics
810,Tor
811,Harlequin Superromance
812,Greenery Press (CA)
813,WaterBrook
814,National Geographic
815,Faber  Faber
816,Graphics Press LLC
817,Arcade Publishing
818,Abacus Books
819,Bloomsbury Arden Shakespeare
820,Hal Leonard Publishing Corporation
821,Penguin-HighBridge
822,Vendome Press
823,Silhouette Romance
824,Motilal Banarsidass
825,Julie Andrews Collection
826,Volo
827,Vintage/Ebury
828,Michael O'Mara
829,Ace Trade
830,Middlesex University Press
831,Nelson Current
832,St. Martin's Paperbacks
833,Candlewick
834,Ediciones B
835,Time-Life Books  Inc.
836,New York: Random House
837,Viking
838,Fawcett crest
839,AMR/Advanced Management Reports
840,Atlas Books/HarperCollins Publishers
841,Tor Classics
842,Dutton Books for Young Readers
843,Dutton Juvenile
844,History Press Ltd
845,Simon & Schuster (Trade Division)
846,Scholastic Press
847,Presidio Press
848,Puzzle-Via Magna
849,Liveright
